INSERT INTO RENTAGREEMENT (PAYMENTTYPE, STARTDATE, EXPIREDATE, RATE, CLIENTID, MACHINEID)  VALUES ('F', TO_DATE('2022/01/13', 'yyyy/mm/dd'), TO_DATE('2024/02/03', 'yyyy/mm/dd'), '1,0', '1', '3');
INSERT INTO RENTAGREEMENT (PAYMENTTYPE, STARTDATE, EXPIREDATE, RATE, CLIENTID, MACHINEID)  VALUES ('F', TO_DATE('2000/10/21', 'yyyy/mm/dd'), TO_DATE('2009/12/25', 'yyyy/mm/dd'), '0,9', '1', '8');
INSERT INTO RENTAGREEMENT (PAYMENTTYPE, STARTDATE, EXPIREDATE, RATE, CLIENTID, MACHINEID)  VALUES ('M', TO_DATE('1999/01/30', 'yyyy/mm/dd'), TO_DATE('2029/01/30', 'yyyy/mm/dd'), '0,6', '5', '9');
INSERT INTO RENTAGREEMENT (PAYMENTTYPE, STARTDATE, EXPIREDATE, RATE, CLIENTID, MACHINEID)  VALUES ('F', TO_DATE('2025/02/01', 'yyyy/mm/dd'), TO_DATE('2026/01/01', 'yyyy/mm/dd'), '3,0', '17', '11');
INSERT INTO RENTAGREEMENT (PAYMENTTYPE, STARTDATE, EXPIREDATE, RATE, CLIENTID, MACHINEID)  VALUES ('M', TO_DATE('2023/01/01', 'yyyy/mm/dd'), TO_DATE('2024/01/01', 'yyyy/mm/dd'), '2,1', '27', '21');
INSERT INTO RENTAGREEMENT (PAYMENTTYPE, STARTDATE, EXPIREDATE, RATE, CLIENTID, MACHINEID)  VALUES ('M', TO_DATE('2019/06/06', 'yyyy/mm/dd'), TO_DATE('2024/05/06', 'yyyy/mm/dd'), '1,9', '28', '26');
INSERT INTO RENTAGREEMENT (PAYMENTTYPE, STARTDATE, EXPIREDATE, RATE, CLIENTID, MACHINEID)  VALUES ('M', TO_DATE('2010/11/03', 'yyyy/mm/dd'), TO_DATE('2020/10/01', 'yyyy/mm/dd'), '1,5', '29', '4');
INSERT INTO RENTAGREEMENT (PAYMENTTYPE, STARTDATE, EXPIREDATE, RATE, CLIENTID, MACHINEID)  VALUES ('M', TO_DATE('2019/12/13', 'yyyy/mm/dd'), TO_DATE('2024/12/03', 'yyyy/mm/dd'), '2,3', '1', '2');
INSERT INTO RENTAGREEMENT (PAYMENTTYPE, STARTDATE, EXPIREDATE, RATE, CLIENTID, MACHINEID)  VALUES ('F', TO_DATE('2025/01/01', 'yyyy/mm/dd'), TO_DATE('2026/10/01', 'yyyy/mm/dd'), '3,2', '2', '7');
INSERT INTO RENTAGREEMENT (PAYMENTTYPE, STARTDATE, EXPIREDATE, RATE, CLIENTID, MACHINEID)  VALUES ('M', TO_DATE('2026/10/23', 'yyyy/mm/dd'), TO_DATE('2030/01/21', 'yyyy/mm/dd'), '2,1', '5', '9');
INSERT INTO RENTAGREEMENT (PAYMENTTYPE, STARTDATE, EXPIREDATE, RATE, CLIENTID, MACHINEID)  VALUES ('F', TO_DATE('2012/01/13', 'yyyy/mm/dd'), TO_DATE('2026/02/03', 'yyyy/mm/dd'), '1,0', '9', '12');
INSERT INTO RENTAGREEMENT (PAYMENTTYPE, STARTDATE, EXPIREDATE, RATE, CLIENTID, MACHINEID)  VALUES ('M', TO_DATE('2011/01/13', 'yyyy/mm/dd'), TO_DATE('2025/02/03', 'yyyy/mm/dd'), '1,3', '23', '14');
INSERT INTO RENTAGREEMENT (PAYMENTTYPE, STARTDATE, EXPIREDATE, RATE, CLIENTID, MACHINEID)  VALUES ('F', TO_DATE('2010/01/13', 'yyyy/mm/dd'), TO_DATE('2030/02/03', 'yyyy/mm/dd'), '1,4', '10', '28');
INSERT INTO RENTAGREEMENT (PAYMENTTYPE, STARTDATE, EXPIREDATE, RATE, CLIENTID, MACHINEID)  VALUES ('F', TO_DATE('2002/11/18', 'yyyy/mm/dd'), TO_DATE('2023/06/03', 'yyyy/mm/dd'), '1,5', '13', '1');
